"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.65814285714286,100,NA,NA,100,0,0,0,0,94.97,2.28,1.48,1.66,0.61,100,0,0,0,0
"2",30,3,1.54557142857143,100,NA,NA,91,9,0,0,0,82.97,11.58,2.77,2.35,1.33,91,9,0,0,0
"3",30,5,1.39485714285714,100,NA,NA,2,38,57,3,0,18.32,37.29,35.23,7.24,2.92,2,39,56,3,0
"4",20,1,1.40357142857143,100,NA,NA,100,0,0,0,0,90.23,5.12,2.38,1.99,1.28,100,0,0,0,0
"5",20,3,1.529,100,NA,NA,13,64,23,0,0,32.06,46.28,16.76,3.82,2.08,12,64,24,0,0
"6",20,5,1.36,100,NA,NA,0,1,30,60,9,8.44,13.94,32.85,34.33,11.44,0,2,30,59,9
"7",30,1,1.29457142857143,100,NA,NA,100,0,0,0,0,92.37,3.67,1.87,1.87,1.22,100,0,0,0,0
"8",30,3,1.47671428571429,100,NA,NA,28,63,9,0,0,45.16,39.66,10.65,3.2,2.33,27,64,9,0,0
"9",30,5,1.42028571428571,100,NA,NA,0,6,46,46,2,8.61,16.21,39.41,29.68,7.09,0,5,46,47,2
"10",20,1,1.41242857142857,100,NA,NA,47,53,0,0,0,52.53,36.08,7.06,2.99,2.34,49,51,0,0,0
"11",20,3,1.38128571428571,100,NA,NA,1,5,62,31,1,10.53,19.08,42.86,23.66,4.87,1,4,64,30,1
"12",20,5,1.21014285714286,100,NA,NA,0,0,1,33,66,3.8,6.07,14.82,31.54,44.77,0,0,1,35,64
"13",30,1,1.62371428571428,100,NA,NA,100,0,0,0,0,96.99,1.75,1.09,0.97,0.2,100,0,0,0,0
"14",30,3,1.53171428571429,100,NA,NA,100,0,0,0,0,94.26,2.8,1.66,1.73,0.55,100,0,0,0,0
"15",30,5,1.59257142857143,100,NA,NA,51,47,2,0,0,56.99,34.36,5.15,2.77,1.73,51,47,2,0,0
"16",20,1,1.296,100,NA,NA,100,0,0,0,0,94.6,2.79,1.45,1.74,0.42,100,0,0,0,0
"17",20,3,1.28742857142857,100,NA,NA,88,12,0,0,0,79.85,13.95,3.65,2.23,1.32,88,12,0,0,0
"18",20,5,1.515,100,NA,NA,0,27,66,7,0,16.37,31.22,40.1,10.29,3.02,0,28,65,7,0
"19",30,1,0.858,60,NA,NA,100,0,0,0,0,91.6333333333333,4.68333333333333,1.88333333333333,2.48333333333333,0.983333333333333,100,0,0,0,0
"20",30,3,1.01114285714286,60,NA,NA,95,5,0,0,0,78.9666666666667,12.5,4.48333333333333,3.73333333333333,1.98333333333333,92,8,0,0,0
"21",30,5,0.816571428571428,60,NA,NA,10,47,42,1,0,28.7833333333333,36.15,25.8,7.5,3.43333333333333,9,48,40,3,0
"22",20,1,0.859285714285714,60,NA,NA,96,4,0,0,0,84.65,7.71666666666667,3.28333333333333,3.86666666666667,2.15,95,5,0,0,0
"23",20,3,0.834857142857143,60,NA,NA,18,57,25,0,0,36.9833333333333,37.2,17.6833333333333,5.88333333333333,3.91666666666667,16,60,24,0,0
"24",20,5,0.828285714285714,60,NA,NA,0,6,42,45,7,14.1,19.1166666666667,31.4833333333333,27.3166666666667,9.65,0,7,40,46,7
"25",30,1,0.860142857142857,60,NA,NA,99,1,0,0,0,87.2,7.45,2.95,2.93333333333333,1.13333333333333,100,0,0,0,0
"26",30,3,0.877285714285715,60,NA,NA,39,52,9,0,0,46.7333333333333,32.7833333333333,12.4666666666667,6.06666666666667,3.61666666666667,37,54,9,0,0
"27",30,5,0.856142857142857,60,NA,NA,0,16,44,35,5,13.6666666666667,21.6,34.7,21.9,9.8,0,17,41,37,5
"28",20,1,0.861142857142857,60,NA,NA,54,43,3,0,0,58.1333333333333,25.7833333333333,9.91666666666667,5,2.83333333333333,51,44,5,0,0
"29",20,3,0.877428571428571,60,NA,NA,1,11,63,22,3,13.6833333333333,22.3166666666667,37.7833333333333,18.8166666666667,9.06666666666667,0,11,63,23,3
"30",20,5,0.949857142857143,60,NA,NA,0,1,10,43,46,5.7,11.4333333333333,20.2666666666667,34.75,29.5166666666667,0,0,12,41,47
"31",30,1,0.940714285714286,60,NA,NA,100,0,0,0,0,93.6,3.28333333333333,1.85,2.36666666666667,0.566666666666667,100,0,0,0,0
"32",30,3,0.915999999999999,60,NA,NA,100,0,0,0,0,88.15,5.98333333333333,3.2,3.05,1.28333333333333,100,0,0,0,0
"33",30,5,0.851142857142857,60,NA,NA,58,38,4,0,0,58.85,25.4,9.08333333333333,5.41666666666667,2.91666666666667,59,36,5,0,0
"34",20,1,0.963571428571429,60,NA,NA,100,0,0,0,0,92.0333333333333,4.15,2.01666666666667,2.61666666666667,0.85,100,0,0,0,0
"35",20,3,1.07828571428571,60,NA,NA,77,21,2,0,0,68.95,18.0666666666667,6.78333333333333,4.7,3.16666666666667,77,21,2,0,0
"36",20,5,0.979714285714286,60,NA,NA,7,43,40,10,0,27.2166666666667,32.7833333333333,25.6333333333333,11.55,4.48333333333333,5,40,45,10,0
"37",30,1,0.390142857142857,30,NA,NA,100,0,0,0,0,83.9333333333333,8.4,4.4,5,1.6,100,0,0,0,0
"38",30,3,0.437857142857143,30,NA,NA,85,14,0,1,0,64.4666666666667,17.9666666666667,8.93333333333333,7.8,4.16666666666667,87,12,0,1,0
"39",30,5,0.425857142857143,30,NA,NA,42,34,15,7,2,35.7,25.4666666666667,19.1333333333333,13.4333333333333,9.6,37,36,20,6,1
