"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"41",20,3,0.444214285714286,30,NA,NA,70.5,20.8,8,0.7,0,62.4366666666667,20.2166666666667,10.91,6.73333333333333,3.03666666666667,69.4,22.4,7.1,1.1,0
"42",20,5,0.474557142857143,30,NA,NA,22.5,24.4,31.5,17.2,4.4,29.2666666666667,24.6066666666667,23.62,16.6166666666667,9.22333333333334,20.8,23.8,32.1,18.6,4.7
"43",30,1,0.415257142857143,30,NA,NA,99.5,0.5,0,0,0,87,7.88666666666667,3.96,3.68333333333334,0.803333333333333,99.5,0.5,0,0,0
"44",30,3,0.409585714285714,30,NA,NA,79.4,16.2,4.2,0.2,0,67.9766666666667,18.2166666666667,8.38666666666666,6.1,2.65333333333333,79.5,15.6,4.8,0.1,0
"45",30,5,0.418214285714285,30,NA,NA,31.4,30.1,26.2,10.4,1.9,37.1466666666667,26.1966666666667,20.0566666666667,12.91,7.02333333333334,29.9,31,26.4,10.6,2.1
"46",20,1,0.449157142857143,30,NA,NA,85.8,11.3,2.7,0.2,0,71.2933333333333,16.33,7.62666666666667,5.64,2.44333333333333,85.1,12.7,2.2,0,0
"47",20,3,0.4787,30,NA,NA,37.1,29.7,24.7,7.4,1.1,39.1366666666667,26.1733333333333,19.5833333333333,12.2466666666667,6.19333333333333,34.8,31.9,24.2,7.8,1.3
"48",20,5,0.438057142857143,30,NA,NA,6.6,18.2,31.4,26.4,17.4,18.4733333333333,21.6633333333333,24.1966666666667,21.23,17.77,6.2,17.5,31.2,27.9,17.2
"49",30,1,0.403357142857143,30,NA,NA,100,0,0,0,0,95.9266666666667,3.70666666666667,1.93333333333333,1.64,0.126666666666667,100,0,0,0,0
"50",30,3,0.490157142857143,30,NA,NA,99.9,0.1,0,0,0,89.9366666666667,6.75333333333333,3.17333333333333,2.93666666666667,0.533333333333333,100,0,0,0,0
"51",30,5,0.436328571428571,30,NA,NA,86.3,11.7,1.6,0.4,0,72.4766666666667,15.8466666666667,7.23333333333333,5.68333333333333,2.09333333333333,85.4,12.1,2.1,0.4,0
"52",20,1,0.4497,30,NA,NA,100,0,0,0,0,91.5533333333333,5.94666666666667,2.73666666666667,2.69333333333333,0.403333333333334,100,0,0,0,0
"53",20,3,0.431085714285714,30,NA,NA,94.5,5,0.5,0,0,79.6133333333333,12.0633333333333,5.42,4.62666666666667,1.61,94.8,4.8,0.4,0,0
"54",20,5,0.456414285714286,30,NA,NA,47.3,28.2,20.1,4.3,0.1,46.7,25.3133333333333,17.07,9.42333333333334,4.82666666666667,45.8,29.2,20.6,3.7,0.7
