"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.68342857142857,100,NA,NA,100,0,0,0,0,97.91,1.56,0.73,0.73,0.07,100,0,0,0,0
"2",30,3,1.48142857142857,100,NA,NA,100,0,0,0,0,93.49,3.82,1.61,1.49,0.59,100,0,0,0,0
"3",30,5,1.41942857142857,100,NA,NA,5,49,45,1,0,30.78,43.13,23.23,2.75,1.11,5,50,44,1,0
"4",20,1,1.40914285714286,100,NA,NA,100,0,0,0,0,94.78,3.4,1.35,1.21,0.26,100,0,0,0,0
"5",20,3,1.34785714285714,100,NA,NA,18,67,15,0,0,43.6,43.64,10.94,2.23,0.59,19,67,14,0,0
"6",20,5,1.27371428571429,100,NA,NA,0,1,37,55,7,10.21,16.68,36.16,29.54,8.41,0,1,38,53,8
"7",30,1,1.31228571428571,100,NA,NA,100,0,0,0,0,95.92,2.37,1.26,1.15,0.3,100,0,0,0,0
"8",30,3,1.36771428571429,100,NA,NA,39,58,3,0,0,63.47,30.14,4.66,2.03,0.7,38,58,4,0,0
"9",30,5,1.569,100,NA,NA,0,7,65,28,0,12.36,21.44,46.15,19.04,2.01,0,6,65,29,0
"10",20,1,1.36085714285714,100,NA,NA,64,35,1,0,0,73.12,22.99,3.07,1.24,0.58,62,37,1,0,0
"11",20,3,1.47428571428571,100,NA,NA,1,20,60,19,0,20.34,31.43,34.76,12.89,1.58,1,21,59,19,0
"12",20,5,1.47442857142857,100,NA,NA,0,0,0,39,61,6.13,9.76,16.46,38.54,30.11,0,0,1,38,61
"13",30,1,1.315,100,NA,NA,100,0,0,0,0,98.39,1.32,0.62,0.63,0.04,100,0,0,0,0
"14",30,3,1.44185714285714,100,NA,NA,100,0,0,0,0,97.27,1.69,0.89,1,0.15,100,0,0,0,0
