"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.278,100,NA,NA,100,0,0,0,0,90.91,4.1,2.24,2.27,1.48,100,0,0,0,0
"2",30,3,1.37457142857143,100,NA,NA,96,4,0,0,0,75.67,15.27,4.44,3.18,2.44,96,4,0,0,0
"3",30,5,1.59171428571429,100,NA,NA,1,31,66,2,0,14.42,33.34,38.2,9.74,5.3,2,33,62,3,0
"4",20,1,1.34228571428571,100,NA,NA,99,1,0,0,0,82.26,8.95,3.82,3.16,2.81,99,1,0,0,0
"5",20,3,1.46128571428571,100,NA,NA,10,55,33,2,0,19.63,42.85,28.8,6.38,3.34,10,52,36,2,0
"6",20,5,1.48357142857143,100,NA,NA,0,0,18,69,13,3.87,9.7,25.83,42.21,19.39,0,0,20,69,11
"7",30,1,1.39714285714286,100,NA,NA,100,0,0,0,0,87.83,5.4,2.96,2.66,2.15,100,0,0,0,0
"8",30,3,1.45942857142857,100,NA,NA,17,67,16,0,0,31.4,44.7,16.67,4.07,4.16,18,66,16,0,0
"9",30,5,1.276,100,NA,NA,0,4,44,49,3,4.89,13.03,38.56,32.27,12.25,0,2,47,48,3
"10",20,1,1.10842857142857,100,NA,NA,41,54,5,0,0,41.71,41.4,10.06,4.24,3.59,38,58,4,0,0
"11",20,3,1.57657142857143,100,NA,NA,0,5,57,37,1,6.76,16.86,42.28,28.26,6.84,0,5,59,35,1
"12",20,5,1.57042857142857,100,NA,NA,0,0,2,28,70,2.19,5.2,11.91,29.78,51.92,0,0,2,27,71
"13",30,1,1.42628571428571,100,NA,NA,100,0,0,0,0,92.92,2.64,2.02,2.34,1.08,100,0,0,0,0
"14",30,3,1.42571428571429,100,NA,NA,100,0,0,0,0,89.11,4.37,2.67,3.03,1.82,100,0,0,0,0
"15",30,5,1.549,100,NA,NA,49,47,4,0,0,49.26,35.14,9.49,3.82,3.29,50,46,4,0,0
"16",20,1,1.274,100,NA,NA,100,0,0,0,0,90.65,3.49,2.39,2.5,1.97,100,0,0,0,0
"17",20,3,1.24614285714286,100,NA,NA,77,23,0,0,0,61.36,25.98,6.6,4.09,2.97,74,26,0,0,0
"18",20,5,1.459,100,NA,NA,0,19,70,11,0,10.31,26.2,43.53,14.47,6.49,0,19,71,10,0
"19",30,1,0.922571428571429,60,NA,NA,99,1,0,0,0,84.9666666666667,6.43333333333333,3.63333333333333,4.05,2.58333333333333,100,0,0,0,0
"20",30,3,0.624571428571429,60,NA,NA,94,5,1,0,0,65.95,17.4166666666667,7.8,5.41666666666667,5.08333333333333,93,6,1,0,0
"21",30,5,0.933142857142857,60,NA,NA,7,42,44,6,1,19.05,27.6333333333333,31.0833333333333,13.4166666666667,10.4833333333333,9,34,51,5,1
"22",20,1,0.695571428571429,60,NA,NA,94,6,0,0,0,73.7833333333333,12.6833333333333,6.68333333333333,4.81666666666667,3.7,94,6,0,0,0
"23",20,3,0.984428571428572,60,NA,NA,20,44,33,3,0,27.2833333333333,29.0666666666667,24.5,12.0166666666667,8.8,21,44,32,3,0
"24",20,5,1.23442857142857,60,NA,NA,1,3,29,55,12,7.8,14.3666666666667,30,30.1333333333333,19.3666666666667,1,2,32,51,14
"25",30,1,0.965428571428571,60,NA,NA,100,0,0,0,0,77.4,9.61666666666667,4.91666666666667,5.55,4.18333333333333,100,0,0,0,0
"26",30,3,0.932857142857143,60,NA,NA,23,56,21,0,0,30.3,33.4166666666667,19.65,10.4833333333333,7.81666666666667,20,62,18,0,0
"27",30,5,0.831142857142857,60,NA,NA,0,8,49,35,8,7.35,15.8333333333333,34.25,28.1666666666667,16.0666666666667,0,9,46,41,4
"28",20,1,0.707571428571429,60,NA,NA,39,54,7,0,0,41.2666666666667,34.8333333333333,11.6666666666667,7.2,6.7,37,56,7,0,0
"29",20,3,0.950285714285714,60,NA,NA,1,13,49,32,5,11.1,18.4833333333333,32.2,24.3666666666667,15.5166666666667,1,14,48,28,9
"30",20,5,0.766142857142857,60,NA,NA,0,0,7,34,59,2.86666666666667,7.13333333333333,14.4833333333333,27.9,49.2833333333333,0,1,6,31,62
"31",30,1,0.781,60,NA,NA,100,0,0,0,0,90.3333333333333,4.08333333333333,2.31666666666667,3.23333333333333,1.7,100,0,0,0,0
"32",30,3,0.790285714285714,60,NA,NA,100,0,0,0,0,81.3833333333333,8.93333333333333,4.51666666666667,4.13333333333333,2.7,100,0,0,0,0
"33",30,5,0.921142857142857,60,NA,NA,44,49,7,0,0,41.3333333333333,31.9,15.8166666666667,6.75,5.86666666666667,42,51,7,0,0
"34",20,1,0.757,60,NA,NA,100,0,0,0,0,85.5333333333333,6.26666666666667,3.3,3.7,2.86666666666667,100,0,0,0,0
"35",20,3,1.14157142857143,60,NA,NA,76,23,1,0,0,60.3333333333333,22.55,8.31666666666667,5.26666666666667,5.2,79,20,1,0,0
"36",20,5,0.828,60,NA,NA,3,32,52,13,0,14.6833333333333,27.9333333333333,32.1166666666667,16.8666666666667,10.0666666666667,4,32,50,14,0
"37",30,1,0.366714285714286,30,NA,NA,100,0,0,0,0,76.0333333333333,9.4,5.73333333333333,7.33333333333333,4.83333333333333,99,1,0,0,0
"38",30,3,0.366285714285714,30,NA,NA,75,17,8,0,0,48.6333333333333,21.5666666666667,12.8666666666667,10.6,9.66666666666667,77,20,2,1,0
"39",30,5,0.489142857142857,30,NA,NA,28,31,27,9,5,22.1333333333333,22.2333333333333,22.4666666666667,18.4666666666667,18.0333333333333,30,31,24,12,3
"40",20,1,0.394857142857143,30,NA,NA,82,12,6,0,0,55.5333333333333,17.7,11.4333333333333,9.86666666666667,8.8,82,15,3,0,0
"41",20,3,0.413571428571429,30,NA,NA,39,26,25,7,3,26.5666666666667,22.1333333333333,20.2333333333333,16.3,18.1,40,22,31,6,1
"42",20,5,0.354285714285714,30,NA,NA,7,22,24,26,21,13.3333333333333,16.9,19.2333333333333,23.0666666666667,30.8,7,20,30,21,22
"43",30,1,0.640142857142857,30,NA,NA,91,9,0,0,0,62.0333333333333,15.4666666666667,9.36666666666667,9.4,7.06666666666667,95,4,1,0,0
"44",30,3,0.492,30,NA,NA,47,24,25,4,0,30.2666666666667,24.9666666666667,19.3333333333333,14.6,14.1666666666667,44,30,22,4,0
"45",30,5,0.357714285714286,30,NA,NA,5,25,32,25,13,12.6,18.9333333333333,22.8,23.5333333333333,25.4666666666667,7,20,35,26,12
"46",20,1,0.495857142857143,30,NA,NA,51,21,22,5,1,33.1666666666667,26.5666666666667,18.9,13,11.7,56,19,20,5,0
"47",20,3,0.472428571428571,30,NA,NA,17,21,32,19,11,17.4333333333333,21.5,22.6333333333333,20.6,21.1666666666667,14,29,32,19,6
"48",20,5,0.351142857142857,30,NA,NA,1,7,19,32,41,5.96666666666667,11.3666666666667,19.5333333333333,23.6333333333333,42.8333333333333,1,7,16,31,45
"49",30,1,0.460285714285714,30,NA,NA,100,0,0,0,0,77.9666666666667,9.93333333333333,5.66666666666667,6.9,2.86666666666667,100,0,0,0,0
"50",30,3,0.336857142857143,30,NA,NA,98,2,0,0,0,65.7,15.1,8.6,8.76666666666667,5.16666666666667,94,5,1,0,0
"51",30,5,0.395857142857143,30,NA,NA,53,27,16,4,0,37.6,23.9,18.5,11.7333333333333,11.6,52,25,21,2,0
"52",20,1,0.420142857142857,30,NA,NA,99,1,0,0,0,73.1,12.5,7.16666666666667,6.83333333333333,3.73333333333333,99,0,1,0,0
"53",20,3,0.335428571428571,30,NA,NA,69,17,11,3,0,45.5,22.8333333333333,14.4666666666667,11.6333333333333,8.9,70,17,10,3,0
"54",20,5,0.518714285714286,30,NA,NA,27,23,32,15,3,18.1333333333333,23.5333333333333,23.6333333333333,19.5333333333333,18.5,24,25,37,14,0
